y_gap;r;pi
-1.09687134178433;10;6.10998
-0.0373967063359564;8.5;6.1
0.172748651719224;7.5;4.33925
1.32320588217345;6.75;3.59922
0.923087512357529;6;3.35893
0.951554416731542;5.25;1.41376
1.41542061308183;5.25;1.13422
1.9476330581865;5.25;0.75117
0.212503150023503;5.25;0.3714
1.54173424576303;5.25;0.55762
1.79228060465675;6.5;0.84112
0.874977886155163;6.5;1.58434
0.172730605840608;6;1.57262
1.62311698951613;5;4.25139
1.22688530937742;5;4.26321
1.52178071154263;4.5;4.22018
1.1549173852615;4;3.55191
1.37011727608884;4;1.32979
1.38567402711657;4;1.77778
2.73164608923766;4;0.88028
-0.216352311923058;4;0.87548
1.5951661654318;4.25;1.25726
1.01270594881065;4.75;1.5858
1.11389700917705;5;1.39616
0.212828179858684;5.75;2.5227
0.938047998863889;6;2.6
0.693692596834493;6;2.18905
0.881230189436675;5;3.88446
0.333566033924862;3.75;4.13386
2.13247035084075;3.5;4.48343
1.76769487740397;3.5;4.28432
1.22423596225522;3.5;3.16395
1.6764556878587;3.5;3.87524
1.46266389732638;3.5;4.01119
1.24044220275865;3.5;3.8282
1.61994773161202;3.5;3.71747
0.750264652757458;3.75;2.63876
0.979674900271807;4.5;2.15247
0.342506591584153;4.5;2.42806
0.936665083214846;4.5;3.1362
0.617743178130481;4.5;4.43262
1.20090341417661;4.75;4.12643
0.49808659257663;4.5;3.86304
1.35214411422097;4.25;4.60469
0.487062841730854;3.25;3.82003
1.18139360418195;2.75;4.04722
1.23803283814998;2.5;3.5503
1.67881258038002;2.5;2.32558
0.545810862373051;2.5;0.98119
0.938632842783811;2.5;0.40519
0.872320186992032;2.5;1.22449
1.14596443970214;2;0.73052
0.449650968414603;1.5;0.72874
1.40994354368245;1.5;0.32284
0.878660808791804;1.5;-0.32258
1.08283368036844;1.5;-0.88638
0.940225649578363;1.5;-1.20579
0.892013008579909;1.5;-0.72405
0.986489699342882;1.5;-0.97087
0.522935119467023;1.5;-0.65041
0.297617612263699;1.5;-1.05777
0.833849064809362;1.5;-0.89141
0.516820991429935;1.5;-0.5719
0.700192234077638;1.5;0.90016
0.356923251356123;1.5;2.05592
0.766610522501759;1.5;1.63532
0.579224940605464;1.5;2.30074
0.971537218555113;1.5;2.18978
-0.109645155777662;1.5;1.53102
0.839128296942836;1.5;2.17216
0.505134482750172;1.5;2.00803
0.826410293516227;1.5;1.19048
0.235798858990005;1;1.66667
4.85449733234697;0.1;2.51969
-1.19796901848722;0.1;2.51969
1.82963765803165;0.1;3.21569
0.793152964706804;0.1;4.60578
0.88471465944687;0.1;3.22581
0.381759603487859;0.5;3.149
0.627693564126929;1.75;2.27964
-0.873346729269066;3.5;3.28358
